transaction_id,intervention,recovered,amount_recovered,recovery_time_hours
TXN000077,UPDATE_CARD,0,0.0,
TXN000078,PAYMENT_LINK,1,100.0,3.0
TXN000079,REMINDER,1,113.93,20.0
TXN000080,PAYMENT_LINK,1,100.0,40.0
TXN000081,RETRY,1,100.0,39.0
TXN000082,RETRY,0,0.0,
TXN000083,PAYMENT_LINK,1,100.0,18.0
TXN000084,RETRY,1,100.0,41.0
TXN000085,RETRY,0,0.0,
TXN000086,PAYMENT_LINK,1,100.0,27.0
TXN000087,PAYMENT_LINK,1,100.0,15.0
TXN000088,RETRY,1,100.0,37.0
TXN000089,UPDATE_CARD,1,100.0,58.0
TXN000090,RETRY,1,100.0,5.0
TXN000091,RETRY,1,100.0,7.0
TXN000092,RETRY,1,100.0,41.0
TXN000093,PAYMENT_LINK,0,0.0,
TXN000094,RETRY,0,0.0,
TXN000095,RETRY,0,0.0,
TXN000096,PAYMENT_LINK,0,0.0,
TXN000097,PAYMENT_LINK,1,100.0,24.0
TXN000098,RETRY,1,100.0,41.0
TXN000099,PAYMENT_LINK,1,100.0,65.0
TXN000100,RETRY,1,100.0,17.0
TXN000101,PAYMENT_LINK,0,0.0,
TXN000102,UPDATE_CARD,1,100.0,27.0
TXN000103,UPDATE_CARD,1,100.0,7.0
TXN000104,PAYMENT_LINK,1,100.0,12.0
TXN000105,RETRY,1,100.0,3.0
TXN000106,RETRY,1,100.0,10.0
TXN000107,REMINDER,0,0.0,
TXN000108,RETRY,1,100.0,46.0
TXN000109,PAYMENT_LINK,0,0.0,
TXN000110,ESCALATE,0,0.0,
TXN000111,ESCALATE,1,100.0,6.0
TXN000112,PAYMENT_LINK,1,100.0,2.0
TXN000113,UPDATE_CARD,1,100.0,29.0
TXN000114,PAYMENT_LINK,1,100.0,40.0
TXN000115,RETRY,0,0.0,
TXN000116,UPDATE_CARD,0,0.0,
TXN000117,PAYMENT_LINK,1,100.0,68.0
TXN000118,PAYMENT_LINK,0,0.0,
TXN000119,PAYMENT_LINK,0,0.0,
TXN000120,RETRY,1,100.0,60.0
TXN000121,RETRY,1,100.0,41.0
TXN000122,PAYMENT_LINK,0,0.0,
TXN000123,RETRY,1,100.0,64.0
TXN000124,PAYMENT_LINK,1,100.0,63.0
TXN000125,PAYMENT_LINK,0,0.0,
TXN000126,UPDATE_CARD,0,0.0,
TXN000127,PAYMENT_LINK,1,100.0,37.0
TXN000128,RETRY,1,100.0,64.0
TXN000129,RETRY,0,0.0,
TXN000130,PAYMENT_LINK,0,0.0,
TXN000131,UPDATE_CARD,1,100.0,39.0
TXN000132,PAYMENT_LINK,1,100.0,67.0
TXN000133,RETRY,0,0.0,
TXN000134,RETRY,1,100.0,24.0
TXN000135,ESCALATE,0,0.0,
TXN000136,PAYMENT_LINK,0,0.0,
TXN000137,UPDATE_CARD,1,100.0,67.0
TXN000138,RETRY,0,0.0,
TXN000139,UPDATE_CARD,1,100.0,29.0
TXN000140,PAYMENT_LINK,1,100.0,32.0
TXN000141,UPDATE_CARD,1,100.0,39.0
TXN000142,RETRY,1,100.0,9.0
TXN000143,UPDATE_CARD,1,100.0,14.0
TXN000144,PAYMENT_LINK,1,100.0,68.0
TXN000145,PAYMENT_LINK,1,100.0,64.0
TXN000146,PAYMENT_LINK,1,100.0,20.0
TXN000147,UPDATE_CARD,1,100.0,28.0
TXN000148,PAYMENT_LINK,0,0.0,
TXN000149,UPDATE_CARD,1,100.0,44.0
TXN000150,RETRY,1,100.0,39.0
TXN000151,RETRY,0,0.0,
TXN000152,RETRY,1,100.0,64.0
TXN000153,PAYMENT_LINK,1,100.0,32.0
TXN000154,PAYMENT_LINK,0,0.0,
TXN000155,UPDATE_CARD,1,100.0,28.0
TXN000156,RETRY,1,100.0,17.0
TXN000157,RETRY,1,101.71,55.0
TXN000158,PAYMENT_LINK,1,100.0,10.0
TXN000159,REMINDER,0,0.0,
TXN000160,RETRY,1,100.0,48.0
TXN000161,UPDATE_CARD,1,100.0,67.0
TXN000162,RETRY,1,100.0,41.0
TXN000163,RETRY,1,100.0,60.0
TXN000164,PAYMENT_LINK,0,0.0,
TXN000165,RETRY,1,100.0,71.0
TXN000166,ESCALATE,0,0.0,
TXN000167,RETRY,1,100.0,13.0
TXN000168,RETRY,1,100.0,15.0
TXN000169,PAYMENT_LINK,1,100.0,36.0
TXN000170,PAYMENT_LINK,0,0.0,
TXN000171,PAYMENT_LINK,1,100.0,56.0
TXN000172,UPDATE_CARD,0,0.0,
TXN000173,RETRY,0,0.0,
TXN000174,RETRY,1,100.0,10.0
TXN000175,PAYMENT_LINK,1,100.0,45.0
TXN000176,PAYMENT_LINK,0,0.0,
TXN000177,PAYMENT_LINK,1,100.0,53.0
TXN000178,RETRY,1,100.0,29.0
TXN000179,PAYMENT_LINK,1,161.32,23.0
TXN000180,PAYMENT_LINK,1,100.0,57.0
TXN000181,PAYMENT_LINK,0,0.0,
TXN000182,PAYMENT_LINK,1,100.0,21.0
TXN000183,PAYMENT_LINK,0,0.0,
TXN000184,PAYMENT_LINK,0,0.0,
TXN000185,PAYMENT_LINK,1,100.0,30.0
TXN000186,PAYMENT_LINK,1,100.0,51.0
TXN000187,UPDATE_CARD,0,0.0,
TXN000188,PAYMENT_LINK,1,100.0,18.0
TXN000189,PAYMENT_LINK,0,0.0,
TXN000190,PAYMENT_LINK,1,100.0,64.0
TXN000191,RETRY,1,100.0,21.0
TXN000192,PAYMENT_LINK,0,0.0,
TXN000193,PAYMENT_LINK,1,100.0,15.0
TXN000194,PAYMENT_LINK,1,100.0,36.0
TXN000195,RETRY,1,100.0,47.0
TXN000196,PAYMENT_LINK,0,0.0,
TXN000197,PAYMENT_LINK,1,100.0,32.0
TXN000198,RETRY,1,100.0,58.0
TXN000199,REMINDER,1,100.0,46.0
TXN000200,RETRY,1,100.0,54.0
TXN000201,RETRY,1,100.0,33.0
TXN000202,ESCALATE,1,100.0,39.0
TXN000203,UPDATE_CARD,1,100.0,23.0
TXN000204,PAYMENT_LINK,0,0.0,
TXN000205,ESCALATE,0,0.0,
TXN000206,PAYMENT_LINK,0,0.0,
TXN000207,PAYMENT_LINK,0,0.0,
TXN000208,PAYMENT_LINK,1,100.0,38.0
TXN000209,PAYMENT_LINK,1,100.0,29.0
TXN000210,RETRY,1,100.0,67.0
TXN000211,PAYMENT_LINK,0,0.0,
TXN000212,RETRY,1,100.0,36.0
TXN000213,PAYMENT_LINK,1,100.0,29.0
TXN000214,PAYMENT_LINK,0,0.0,
TXN000215,PAYMENT_LINK,1,100.0,45.0
TXN000216,UPDATE_CARD,1,100.0,16.0
TXN000217,PAYMENT_LINK,1,100.0,31.0
TXN000218,PAYMENT_LINK,0,0.0,
TXN000219,RETRY,0,0.0,
TXN000220,RETRY,1,100.0,65.0
TXN000221,RETRY,1,100.0,62.0
TXN000222,PAYMENT_LINK,0,0.0,
TXN000223,RETRY,1,100.0,56.0
TXN000224,PAYMENT_LINK,1,100.0,15.0
TXN000225,PAYMENT_LINK,1,100.0,48.0
TXN000226,RETRY,1,100.0,49.0
TXN000227,UPDATE_CARD,1,100.0,44.0
TXN000228,PAYMENT_LINK,1,100.0,10.0
TXN000229,RETRY,1,100.0,20.0
TXN000230,UPDATE_CARD,1,100.0,70.0
TXN000231,UPDATE_CARD,0,0.0,
TXN000232,PAYMENT_LINK,1,100.0,45.0
TXN000233,PAYMENT_LINK,0,0.0,
TXN000234,PAYMENT_LINK,1,100.0,51.0
TXN000235,REMINDER,1,100.0,4.0
TXN000236,RETRY,1,100.0,39.0
TXN000237,UPDATE_CARD,1,100.0,24.0
TXN000238,UPDATE_CARD,0,0.0,
TXN000239,RETRY,1,100.0,26.0
TXN000240,REMINDER,0,0.0,
TXN000241,ESCALATE,1,100.0,36.0
TXN000242,PAYMENT_LINK,0,0.0,
TXN000243,PAYMENT_LINK,1,100.0,58.0
TXN000244,PAYMENT_LINK,0,0.0,
TXN000245,PAYMENT_LINK,1,100.0,1.0
TXN000246,UPDATE_CARD,0,0.0,
TXN000247,PAYMENT_LINK,0,0.0,
TXN000248,PAYMENT_LINK,0,0.0,
TXN000249,REMINDER,1,100.0,68.0
TXN000250,REMINDER,1,129.19,6.0
TXN000251,PAYMENT_LINK,1,100.0,26.0
TXN000252,ESCALATE,0,0.0,
TXN000253,UPDATE_CARD,1,100.0,39.0
TXN000254,RETRY,1,100.0,9.0
TXN000255,PAYMENT_LINK,0,0.0,
TXN000256,PAYMENT_LINK,1,100.0,14.0
TXN000257,RETRY,1,100.0,55.0
TXN000258,PAYMENT_LINK,1,100.0,9.0
TXN000259,PAYMENT_LINK,1,100.0,15.0
TXN000260,PAYMENT_LINK,1,100.0,37.0
TXN000261,RETRY,1,100.0,50.0
TXN000262,PAYMENT_LINK,1,100.0,72.0
TXN000263,UPDATE_CARD,0,0.0,
TXN000264,RETRY,1,100.0,57.0
TXN000265,ESCALATE,0,0.0,
TXN000266,PAYMENT_LINK,0,0.0,
TXN000267,RETRY,1,100.0,6.0
TXN000268,PAYMENT_LINK,0,0.0,
TXN000269,PAYMENT_LINK,0,0.0,
TXN000270,RETRY,1,100.0,42.0
TXN000271,RETRY,1,100.0,3.0
TXN000272,RETRY,1,100.0,1.0
TXN000273,RETRY,0,0.0,
TXN000274,PAYMENT_LINK,1,100.0,15.0
TXN000275,PAYMENT_LINK,0,0.0,
TXN000276,RETRY,0,0.0,
TXN000277,RETRY,1,100.0,58.0
TXN000278,RETRY,1,100.0,71.0
TXN000279,PAYMENT_LINK,0,0.0,
TXN000280,PAYMENT_LINK,0,0.0,
TXN000281,ESCALATE,0,0.0,
TXN000282,PAYMENT_LINK,1,100.0,35.0
TXN000283,RETRY,1,100.0,57.0
TXN000284,PAYMENT_LINK,1,100.0,29.0
TXN000285,REMINDER,1,100.0,50.0
TXN000286,PAYMENT_LINK,0,0.0,
TXN000287,ESCALATE,0,0.0,
TXN000288,RETRY,1,100.0,14.0
TXN000289,RETRY,0,0.0,
TXN000290,PAYMENT_LINK,0,0.0,
TXN000291,RETRY,0,0.0,
TXN000292,PAYMENT_LINK,0,0.0,
TXN000293,RETRY,1,100.0,7.0
TXN000294,RETRY,1,100.0,39.0
TXN000295,PAYMENT_LINK,0,0.0,
TXN000296,RETRY,1,100.0,35.0
TXN000297,PAYMENT_LINK,0,0.0,
TXN000298,UPDATE_CARD,1,100.0,14.0
TXN000299,PAYMENT_LINK,1,100.0,63.0
TXN000300,RETRY,1,100.0,36.0
TXN000301,PAYMENT_LINK,1,100.0,24.0
TXN000302,RETRY,1,100.0,40.0
TXN000303,PAYMENT_LINK,1,100.0,29.0
TXN000304,PAYMENT_LINK,1,100.0,53.0
TXN000305,PAYMENT_LINK,0,0.0,
TXN000306,PAYMENT_LINK,0,0.0,
TXN000307,PAYMENT_LINK,1,100.0,15.0
TXN000308,PAYMENT_LINK,0,0.0,
TXN000309,PAYMENT_LINK,1,100.0,64.0
TXN000310,PAYMENT_LINK,0,0.0,
TXN000311,RETRY,0,0.0,
TXN000312,UPDATE_CARD,0,0.0,
TXN000313,PAYMENT_LINK,0,0.0,
TXN000314,ESCALATE,1,100.0,15.0
TXN000315,REMINDER,1,100.0,70.0
TXN000316,PAYMENT_LINK,1,100.0,55.0
TXN000317,RETRY,1,100.0,53.0
TXN000318,ESCALATE,0,0.0,
TXN000319,RETRY,1,100.0,34.0
TXN000320,UPDATE_CARD,1,100.0,27.0
TXN000321,RETRY,1,100.0,13.0
TXN000322,RETRY,1,100.0,27.0
TXN000323,PAYMENT_LINK,1,100.0,69.0
TXN000324,ESCALATE,0,0.0,
TXN000325,RETRY,1,572.43,3.0
TXN000326,UPDATE_CARD,1,100.0,30.0
TXN000327,RETRY,1,100.0,21.0
TXN000328,RETRY,1,100.0,6.0
TXN000329,PAYMENT_LINK,0,0.0,
TXN000330,PAYMENT_LINK,0,0.0,
TXN000331,RETRY,1,100.0,62.0
TXN000332,PAYMENT_LINK,0,0.0,
TXN000333,RETRY,1,100.0,39.0
TXN000334,RETRY,1,100.0,64.0
TXN000335,ESCALATE,0,0.0,
TXN000336,PAYMENT_LINK,1,100.0,63.0
TXN000337,RETRY,1,100.0,31.0
TXN000338,UPDATE_CARD,1,100.0,40.0
TXN000339,PAYMENT_LINK,0,0.0,
TXN000340,RETRY,1,100.0,63.0
TXN000341,PAYMENT_LINK,1,100.0,25.0
TXN000342,PAYMENT_LINK,1,100.0,36.0
TXN000343,RETRY,1,100.0,24.0
TXN000344,RETRY,1,100.0,58.0
TXN000345,ESCALATE,1,149.07,39.0
TXN000346,PAYMENT_LINK,0,0.0,
TXN000347,RETRY,0,0.0,
TXN000348,PAYMENT_LINK,1,100.0,32.0
TXN000349,PAYMENT_LINK,0,0.0,
TXN000350,UPDATE_CARD,1,100.0,28.0
TXN000351,PAYMENT_LINK,0,0.0,
TXN000352,ESCALATE,0,0.0,
TXN000353,RETRY,1,100.0,18.0
TXN000354,PAYMENT_LINK,0,0.0,
TXN000355,PAYMENT_LINK,0,0.0,
TXN000356,PAYMENT_LINK,1,100.0,1.0
TXN000357,RETRY,1,100.0,62.0
TXN000358,ESCALATE,1,100.0,38.0
TXN000359,PAYMENT_LINK,0,0.0,
TXN000360,REMINDER,0,0.0,
TXN000361,UPDATE_CARD,1,100.0,1.0
TXN000362,RETRY,1,100.0,32.0
TXN000363,PAYMENT_LINK,0,0.0,
TXN000364,UPDATE_CARD,1,100.0,40.0
TXN000365,REMINDER,1,100.0,56.0
TXN000366,ESCALATE,1,100.0,63.0
TXN000367,UPDATE_CARD,1,100.0,36.0
TXN000368,PAYMENT_LINK,1,100.0,57.0
TXN000369,PAYMENT_LINK,0,0.0,
TXN000370,RETRY,0,0.0,
TXN000371,PAYMENT_LINK,1,100.0,68.0
TXN000372,RETRY,1,100.0,50.0
TXN000373,PAYMENT_LINK,0,0.0,
TXN000374,PAYMENT_LINK,0,0.0,
TXN000375,PAYMENT_LINK,1,4571.18,27.0
TXN000376,PAYMENT_LINK,0,0.0,
TXN000377,UPDATE_CARD,1,100.0,60.0
TXN000378,RETRY,0,0.0,
TXN000379,PAYMENT_LINK,1,100.0,21.0
TXN000380,RETRY,1,100.0,60.0
TXN000381,RETRY,1,100.0,58.0
TXN000382,PAYMENT_LINK,1,100.0,41.0
TXN000383,RETRY,1,100.0,46.0
TXN000384,RETRY,1,100.0,45.0
TXN000385,UPDATE_CARD,0,0.0,
TXN000386,PAYMENT_LINK,0,0.0,
TXN000387,PAYMENT_LINK,0,0.0,
TXN000388,ESCALATE,1,100.0,52.0
TXN000389,UPDATE_CARD,1,100.0,51.0
TXN000390,PAYMENT_LINK,0,0.0,
TXN000391,PAYMENT_LINK,1,100.0,14.0
TXN000392,UPDATE_CARD,1,100.0,49.0
TXN000393,PAYMENT_LINK,1,100.0,1.0
TXN000394,UPDATE_CARD,0,0.0,
TXN000395,PAYMENT_LINK,1,100.0,17.0
TXN000396,REMINDER,1,100.0,50.0
TXN000397,RETRY,0,0.0,
TXN000398,PAYMENT_LINK,1,100.0,59.0
TXN000399,PAYMENT_LINK,1,100.0,3.0
TXN000400,PAYMENT_LINK,1,100.0,40.0
TXN000401,RETRY,0,0.0,
TXN000402,ESCALATE,0,0.0,
TXN000403,ESCALATE,0,0.0,
TXN000404,RETRY,0,0.0,
TXN000405,RETRY,1,100.0,25.0
TXN000406,PAYMENT_LINK,0,0.0,
TXN000407,ESCALATE,0,0.0,
TXN000408,PAYMENT_LINK,0,0.0,
TXN000409,RETRY,1,100.0,62.0
TXN000410,PAYMENT_LINK,0,0.0,
TXN000411,UPDATE_CARD,1,100.0,57.0
TXN000412,RETRY,1,100.0,37.0
TXN000413,PAYMENT_LINK,1,100.0,16.0
TXN000414,RETRY,1,100.0,37.0
TXN000415,RETRY,1,100.0,24.0
TXN000416,PAYMENT_LINK,1,100.0,26.0
TXN000417,REMINDER,1,100.0,20.0
TXN000418,RETRY,1,100.0,9.0
TXN000419,REMINDER,1,100.0,29.0
TXN000420,RETRY,1,100.0,31.0
TXN000421,RETRY,1,100.0,19.0
TXN000422,RETRY,1,100.0,20.0
TXN000423,ESCALATE,1,100.0,27.0
TXN000424,PAYMENT_LINK,1,100.0,44.0
TXN000425,PAYMENT_LINK,1,100.0,35.0
TXN000426,UPDATE_CARD,1,100.0,71.0
TXN000427,ESCALATE,0,0.0,
TXN000428,RETRY,1,100.0,15.0
TXN000429,UPDATE_CARD,0,0.0,
TXN000430,PAYMENT_LINK,1,100.0,4.0
TXN000431,UPDATE_CARD,1,100.0,56.0
TXN000432,RETRY,1,100.0,23.0
TXN000433,UPDATE_CARD,0,0.0,
TXN000434,RETRY,1,100.0,17.0
TXN000435,UPDATE_CARD,1,100.0,28.0
TXN000436,PAYMENT_LINK,1,100.0,14.0
TXN000437,RETRY,1,100.0,34.0
TXN000438,PAYMENT_LINK,0,0.0,
TXN000439,RETRY,1,100.0,55.0
TXN000440,PAYMENT_LINK,1,100.0,66.0
TXN000441,PAYMENT_LINK,1,100.0,37.0
TXN000442,RETRY,1,100.0,68.0
TXN000443,PAYMENT_LINK,0,0.0,
TXN000444,ESCALATE,0,0.0,
TXN000445,RETRY,1,100.0,67.0
TXN000446,RETRY,1,100.0,52.0
TXN000447,RETRY,1,100.0,18.0
TXN000448,UPDATE_CARD,1,100.0,53.0
TXN000449,PAYMENT_LINK,1,100.0,63.0
TXN000450,PAYMENT_LINK,0,0.0,
TXN000451,PAYMENT_LINK,0,0.0,
TXN000452,RETRY,0,0.0,
TXN000453,PAYMENT_LINK,1,100.0,1.0
TXN000454,PAYMENT_LINK,1,100.0,6.0
TXN000455,PAYMENT_LINK,0,0.0,
TXN000456,RETRY,1,100.0,34.0
TXN000457,PAYMENT_LINK,1,100.0,63.0
TXN000458,PAYMENT_LINK,1,100.0,53.0
TXN000459,ESCALATE,0,0.0,
TXN000460,ESCALATE,0,0.0,
TXN000461,PAYMENT_LINK,0,0.0,
TXN000462,RETRY,1,100.0,4.0
TXN000463,RETRY,1,100.0,29.0
TXN000464,RETRY,1,100.0,25.0
TXN000465,PAYMENT_LINK,1,100.0,56.0
TXN000466,PAYMENT_LINK,0,0.0,
TXN000467,PAYMENT_LINK,1,100.0,27.0
TXN000468,PAYMENT_LINK,1,100.0,60.0
TXN000469,PAYMENT_LINK,1,100.0,49.0
TXN000470,PAYMENT_LINK,0,0.0,
TXN000471,UPDATE_CARD,1,100.0,38.0
TXN000472,RETRY,1,100.0,52.0
TXN000473,RETRY,1,100.0,1.0
TXN000474,PAYMENT_LINK,1,100.0,40.0
TXN000475,RETRY,0,0.0,
TXN000476,PAYMENT_LINK,0,0.0,
TXN000477,RETRY,1,100.0,50.0
TXN000478,UPDATE_CARD,0,0.0,
TXN000479,RETRY,1,111.95,32.0
TXN000480,RETRY,1,100.0,49.0
TXN000481,PAYMENT_LINK,0,0.0,
TXN000482,RETRY,0,0.0,
TXN000483,PAYMENT_LINK,0,0.0,
TXN000484,PAYMENT_LINK,0,0.0,
TXN000485,UPDATE_CARD,1,100.0,65.0
TXN000486,ESCALATE,0,0.0,
TXN000487,RETRY,0,0.0,
TXN000488,UPDATE_CARD,1,100.0,18.0
TXN000489,UPDATE_CARD,1,100.0,54.0
TXN000490,PAYMENT_LINK,0,0.0,
TXN000491,RETRY,1,100.0,6.0
TXN000492,PAYMENT_LINK,1,100.0,66.0
TXN000493,UPDATE_CARD,1,100.0,9.0
TXN000494,RETRY,1,100.0,68.0
TXN000495,REMINDER,0,0.0,
TXN000496,RETRY,1,100.0,43.0
TXN000497,UPDATE_CARD,1,100.0,51.0
TXN000498,PAYMENT_LINK,0,0.0,
TXN000499,UPDATE_CARD,0,0.0,
TXN000500,UPDATE_CARD,1,100.0,35.0
TXN000501,PAYMENT_LINK,1,100.0,17.0
TXN000502,RETRY,1,100.0,18.0
TXN000503,RETRY,1,100.0,27.0
TXN000504,PAYMENT_LINK,0,0.0,
TXN000505,PAYMENT_LINK,1,100.0,69.0
TXN000506,RETRY,1,100.0,15.0
TXN000507,PAYMENT_LINK,1,100.0,42.0
TXN000508,RETRY,1,100.0,34.0
TXN000509,RETRY,0,0.0,
TXN000510,PAYMENT_LINK,1,100.0,8.0
TXN000511,RETRY,1,100.0,10.0
TXN000512,PAYMENT_LINK,0,0.0,
TXN000513,PAYMENT_LINK,1,100.0,48.0
TXN000514,PAYMENT_LINK,1,1297.92,26.0
TXN000515,RETRY,1,100.0,23.0
TXN000516,PAYMENT_LINK,1,100.0,62.0
TXN000517,PAYMENT_LINK,0,0.0,
TXN000518,PAYMENT_LINK,1,100.0,9.0
TXN000519,RETRY,1,100.0,20.0
TXN000520,UPDATE_CARD,1,100.0,57.0
TXN000521,PAYMENT_LINK,1,100.0,24.0
TXN000522,UPDATE_CARD,1,100.0,33.0
TXN000523,UPDATE_CARD,0,0.0,
TXN000524,REMINDER,1,100.0,60.0
TXN000525,PAYMENT_LINK,1,100.0,48.0
TXN000526,RETRY,0,0.0,
TXN000527,UPDATE_CARD,0,0.0,
TXN000528,RETRY,1,100.0,17.0
TXN000529,PAYMENT_LINK,1,100.0,14.0
TXN000530,RETRY,1,100.0,19.0
TXN000531,PAYMENT_LINK,1,100.0,71.0
TXN000532,RETRY,1,100.0,59.0
TXN000533,UPDATE_CARD,1,102.3,67.0
TXN000534,PAYMENT_LINK,1,100.0,44.0
TXN000535,RETRY,1,100.0,32.0
TXN000536,RETRY,1,100.0,11.0
TXN000537,PAYMENT_LINK,0,0.0,
TXN000538,PAYMENT_LINK,0,0.0,
TXN000539,REMINDER,0,0.0,
TXN000540,PAYMENT_LINK,0,0.0,
TXN000541,RETRY,1,100.0,46.0
TXN000542,UPDATE_CARD,1,100.0,4.0
TXN000543,PAYMENT_LINK,0,0.0,
TXN000544,PAYMENT_LINK,0,0.0,
TXN000545,UPDATE_CARD,0,0.0,
TXN000546,RETRY,1,100.0,19.0
TXN000547,RETRY,1,100.0,29.0
TXN000548,PAYMENT_LINK,1,100.0,35.0
TXN000549,RETRY,0,0.0,
TXN000550,RETRY,0,0.0,
TXN000551,RETRY,1,100.0,46.0
TXN000552,PAYMENT_LINK,1,100.0,44.0
TXN000553,PAYMENT_LINK,0,0.0,
TXN000554,UPDATE_CARD,1,100.0,52.0
TXN000555,PAYMENT_LINK,1,100.0,8.0
TXN000556,PAYMENT_LINK,0,0.0,
TXN000557,RETRY,0,0.0,
TXN000558,PAYMENT_LINK,1,100.0,40.0
TXN000559,RETRY,1,100.0,31.0
TXN000560,UPDATE_CARD,0,0.0,
TXN000561,RETRY,0,0.0,
TXN000562,ESCALATE,0,0.0,
TXN000563,PAYMENT_LINK,1,100.0,38.0
TXN000564,RETRY,1,100.0,36.0
TXN000565,PAYMENT_LINK,1,100.0,55.0
TXN000566,RETRY,1,100.0,13.0
TXN000567,UPDATE_CARD,1,100.0,37.0
TXN000568,PAYMENT_LINK,1,100.0,47.0
TXN000569,PAYMENT_LINK,1,132.9,71.0
TXN000570,ESCALATE,0,0.0,
TXN000571,ESCALATE,0,0.0,
TXN000572,RETRY,1,100.0,58.0
TXN000573,PAYMENT_LINK,0,0.0,
TXN000574,UPDATE_CARD,1,100.0,18.0
TXN000575,UPDATE_CARD,1,100.0,18.0
TXN000576,RETRY,0,0.0,
TXN000577,UPDATE_CARD,1,100.0,26.0
TXN000578,ESCALATE,0,0.0,
TXN000579,PAYMENT_LINK,0,0.0,
TXN000580,PAYMENT_LINK,1,100.0,69.0
TXN000581,RETRY,1,100.0,65.0
TXN000582,PAYMENT_LINK,0,0.0,
TXN000583,PAYMENT_LINK,0,0.0,
TXN000584,PAYMENT_LINK,1,100.0,13.0
TXN000585,PAYMENT_LINK,0,0.0,
TXN000586,RETRY,1,100.0,8.0
TXN000587,PAYMENT_LINK,1,100.0,32.0
TXN000588,REMINDER,1,328.95,17.0
TXN000589,PAYMENT_LINK,0,0.0,
TXN000590,UPDATE_CARD,1,100.0,63.0
TXN000591,RETRY,1,191.28,40.0
TXN000592,PAYMENT_LINK,0,0.0,
TXN000593,RETRY,1,100.0,6.0
TXN000594,ESCALATE,1,100.0,63.0
TXN000595,PAYMENT_LINK,1,100.0,8.0
